# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      308     5.045942220E-02     4.208568970E-02    -5.000813778E-02
      309    -1.159212798E-01     1.479370262E-02    -6.725030078E-02
      310     1.157062644E-01    -1.454409526E-02    -6.722600595E-02
      311     3.891636160E-02    -2.214062720E-02    -5.259807487E-02
      312    -3.788506262E-02    -2.137545564E-02    -5.262865812E-02
      313    -8.721088661E-02    -3.011928460E-02    -5.864437879E-02
      314    -9.934022335E-02    -7.157255482E-03    -6.378865247E-02
      315     4.242670179E-02    -1.557840277E-02    -5.371777519E-02
      316     1.010100389E-01     7.129517234E-03    -6.419753256E-02
      317    -4.517651627E-02    -2.063984733E-02    -5.347098663E-02
      318    -5.093351749E-02    -6.745834407E-03    -5.530359378E-02
      319     5.132965090E-02    -2.471062757E-02    -5.359942699E-02
      320    -5.133874681E-02    -2.470121418E-02    -5.363834606E-02
      321    -5.130074222E-02    -1.629072159E-02    -5.468461653E-02
      322    -4.690395498E-02     6.448902962E-02    -4.273789043E-02
      323     4.691560704E-02    -6.450943804E-02    -4.274333156E-02
      324     5.810033862E-02    -2.919070805E-02    -5.375885037E-02
      325     1.804400915E-02    -4.034834931E-02    -4.766939778E-02
      326     1.807138038E-02     4.023382007E-02    -4.769260181E-02
      327    -1.804524795E-02     4.033021845E-02    -4.762653950E-02
      328    -5.819904019E-02    -2.925905793E-02    -5.380668031E-02
      329    -1.807369474E-02    -4.024937359E-02    -4.772171919E-02
      330    -8.387958835E-02     7.882227595E-03    -6.049259086E-02
      331     8.466523617E-02    -6.701711814E-03    -6.073726196E-02
      332     8.370707028E-02     7.928084093E-03    -6.051990825E-02
      333     6.161791298E-02     4.175188960E-03    -5.687019793E-02
      334    -6.673577506E-02     9.666458042E-03    -5.735540763E-02
      335    -2.492482726E-02     3.570093188E-02    -4.904050427E-02
      336    -2.548268701E-02    -3.549742003E-02    -4.920449519E-02
      337     2.548493730E-02    -3.550360630E-02    -4.916956160E-02
      338     6.692904576E-02    -1.677695728E-02    -5.683729792E-02
      339     2.547939123E-02     3.549319761E-02    -4.917785335E-02
      340     5.873108162E-02    -1.204653125E-02    -5.602728416E-02
      341     2.833793331E-02    -5.879650194E-02    -4.297702462E-02
      342    -2.833894885E-02     5.875160368E-02    -4.296693060E-02
      343     6.613950319E-02    -4.263221064E-02    -5.205212618E-02
      344    -6.621230761E-02    -4.248737067E-02    -5.215943463E-02
      345     6.621342584E-02     4.230580443E-02    -5.218902433E-02
      346    -6.622445861E-02     4.228417389E-02    -5.209326899E-02
      347    -1.134987094E-01     7.827489211E-03    -6.711401474E-02
      348     1.129545979E-01    -7.507834755E-03    -6.700851984E-02
      349    -8.868593297E-02    -6.406722037E-03    -6.153695128E-02
      350     9.592438715E-03    -4.227956196E-02    -4.691194464E-02
      351    -9.593091641E-03     4.226061562E-02    -4.687248936E-02
      352     6.765774716E-02    -5.941773448E-02    -4.737209318E-02
      353     6.765245950E-02     5.941430911E-02    -4.739200598E-02
      354    -6.763698367E-02     5.940511090E-02    -4.735804306E-02
      355    -6.766148155E-02    -5.941801352E-02    -4.739377276E-02
      356     5.056460360E-02    -3.273063829E-02    -5.209578728E-02
      357     3.716834791E-02     2.690444128E-02    -5.173356324E-02
      358    -5.050617895E-02    -3.253761222E-02    -5.217200306E-02
      359    -3.743391756E-02     2.648216306E-02    -5.174659441E-02
      360    -7.250200910E-02     1.241395502E-03    -5.860695363E-02
      361     8.784626178E-02    -2.732968915E-02    -5.920776728E-02
      362     8.628042199E-02     2.955166869E-02    -5.855829427E-02
      363    -8.623062504E-02     2.950827560E-02    -5.846202576E-02
      364    -1.142610715E-02     6.980643883E-02    -3.826350231E-02
      365     1.143666727E-02    -6.982248064E-02    -3.827367844E-02
      366     1.181543576E-01     5.971588220E-03    -6.839838527E-02
      367    -1.181601985E-01    -5.991118437E-03    -6.838585712E-02
      368     7.458019730E-02    -2.278577447E-02    -5.738816283E-02
      369    -9.169222013E-02     8.270695665E-03    -6.205580226E-02
      370     9.205576261E-02    -7.301994369E-03    -6.221295320E-02
      371     9.237456831E-02     7.479219910E-03    -6.229346276E-02
      372    -7.504158943E-02    -5.448652781E-02    -5.024047183E-02
      373     2.122428111E-02    -5.858525291E-02    -4.261803671E-02
      374    -7.501079017E-02     5.448283999E-02    -5.018749116E-02
      375    -2.122289331E-02     5.855023089E-02    -4.260036373E-02
      376     7.501531601E-02     5.449189788E-02    -5.023206868E-02
      377     7.502721454E-02    -5.449571872E-02    -5.020804580E-02
      378     8.843169972E-02    -3.346939154E-02    -5.819809547E-02
      379     8.114531897E-02     4.273013180E-02    -5.469274302E-02
      380     8.114952306E-02    -4.273621749E-02    -5.465352568E-02
      381     4.790474107E-02     2.168712421E-02    -5.365134836E-02
      382    -4.831999842E-02     2.201429413E-02    -5.356301284E-02
      383    -8.125856334E-02    -4.259662034E-02    -5.476109283E-02
      384    -8.114824927E-02     4.272188424E-02    -5.461268313E-02
      385    -4.270861306E-02     3.207898207E-03    -5.445506534E-02
      386    -1.077303252E-01     2.685383454E-02    -6.369051347E-02
      387     1.077154826E-01    -2.686113043E-02    -6.369939049E-02
      388    -7.845053263E-02    -6.666232449E-03    -5.954496584E-02
      389     7.844969813E-02    -6.658120495E-03    -5.955904470E-02
      390     6.603612519E-02     3.500807981E-02    -5.385271100E-02
      391    -6.604680539E-02     3.498969696E-02    -5.374619581E-02
      392     5.278276681E-02    -8.011367756E-03    -5.548113767E-02
      393     4.475011356E-02    -8.082844590E-03    -5.452335344E-02
      394    -7.147503174E-02    -2.026876552E-02    -5.721965088E-02
      395    -7.871666630E-02     1.579570880E-02    -5.892442937E-02
      396     6.709501672E-02    -5.105087834E-02    -4.989644196E-02
      397    -6.712886216E-02    -5.102133078E-02    -4.995857871E-02
      398     7.871338435E-02     1.579881872E-02    -5.901118104E-02
      399     6.690695180E-02     5.102716219E-02    -4.991342926E-02
      400    -6.689636261E-02     5.100858479E-02    -4.984068289E-02
      401    -5.512331592E-02     8.860210126E-04    -5.596393782E-02
      402    -2.393644340E-03     4.311432357E-02    -4.655828595E-02
      403     2.397050753E-03    -4.313755423E-02    -4.659371734E-02
      404     1.217848581E-02     7.046254382E-02    -3.804771320E-02
      405    -1.217872077E-02    -7.047182806E-02    -3.805667670E-02
      406     8.155812001E-02    -2.841731796E-02    -5.778576243E-02
      407    -1.056413616E-02    -4.307149231E-02    -4.675222214E-02
      408     1.056738579E-02     4.304230603E-02    -4.672389413E-02
      409    -2.494616998E-02     6.682304627E-02    -3.996451556E-02
      410    -2.564361714E-02    -6.712857185E-02    -3.992891436E-02
      411     2.564417012E-02     6.712705250E-02    -3.991888838E-02
      412     2.493790024E-02    -6.686923249E-02    -3.996220915E-02
      413     3.040147637E-02     5.409923383E-02    -4.463836152E-02
      414    -3.040540451E-02    -5.411906089E-02    -4.465728798E-02
      415    -1.084712490E-01    -2.793017965E-02    -6.372458223E-02
      416     1.085229375E-01     2.782223705E-02    -6.375710086E-02
      417    -8.807992405E-02    -3.778848709E-02    -5.725552828E-02
      418    -2.512793017E-02    -5.015252491E-02    -4.548045795E-02
      419     2.512637607E-02     5.013802022E-02    -4.545572249E-02
      420     4.378650450E-02     3.915482402E-02    -4.994174564E-02
      421    -4.377551010E-02     3.912994154E-02    -4.985640904E-02
      422    -1.191784276E-01     9.467307707E-03    -6.848455997E-02
      423     9.109597308E-03     4.996237247E-02    -4.481204113E-02
      424    -9.106480893E-03    -4.998610155E-02    -4.483843113E-02
      425     1.192735711E-01    -9.557967170E-03    -6.851137555E-02
      426    -4.859038666E-02     3.471690962E-02    -5.137815074E-02
      427     4.854315034E-02     3.493540511E-02    -5.142670059E-02
      428     6.856460909E-02     2.832813635E-03    -5.797649444E-02
      429    -5.670355158E-02    -1.215651117E-02    -5.574885668E-02
      430    -9.975026710E-03    -6.218099947E-02    -4.099657384E-02
      431     9.976282948E-03     6.216417163E-02    -4.097964169E-02
      432     8.176457497E-02    -1.315206357E-02    -5.977442586E-02
